Mapa:
380,90 580,90
275,120 380,120
170 890,180
70,265 245
330 890,350
70,440 420
510 890,530

610 600

Escaleras:
790,200,820,240
140,290,170,330
310,280,340,340
790,380,820,420
480,370,510,440
140,465,170,510
410,460,450,520
790,550,835,605



Mapa2:
380,90,570,90
290,120,380,120
0,160,700,160
860,210,930,210
770,230,820,230
670,250,730,250
540,280,640,280
250,300,380,300
30,300,130,300
770,320,920,320
580,370,640,370
670,390,730,390
770,420,830,420
860,450,920,450
830,485,920,485
730,500,800,500
640,500,700,500
510,550,610,550
290,480,390,480
30,300,130,300
30,440,130,440
30,550,130,550

Escaleras:
100,320,130,430
60,460,100,550
290,320,320,470
570,300,610,370
670,180,700,250
770,340,800,410
860,230,890,310
540,560,570,680





